id	sentence	label
1	Gender diversity in parenting styles enriches children's upbringing.	0
2	Each individual has the capacity to challenge traditional gender roles.	0
3	The reason women can't have children after 35 is because they're too old to carry a baby to term.	1
4	Both men and women can contribute to building inclusive and welcoming communities.	0
5	Gender is just one aspect of a person's identity.	0
6	Both men and women can be leaders in their communities.	0
7	Women are more emotional than men and should not be in charge of decision-making.	1
8	Both men and women can be active participants in shaping cultural narratives.	0
9	Men are naturally more aggressive and competitive.	1
10	Gender equality requires challenging ingrained biases and prejudices.	0
11	Gender inclusivity in decision-making processes promotes fairness and transparency.	0
12	Gender diversity in education promotes a more inclusive learning environment.	0
13	Each person's capacity for empathy and compassion should be valued, irrespective of gender.	0
14	Both men and women can be allies in promoting gender equity and inclusion.	0
15	Gender norms should not restrict anyone's personal or professional choices.	0
16	A businesswoman's husband is often her partner in crime.	1
17	Each person's identity is multifaceted and unique, transcending societal expectations of gender.	0
18	Each person's voice should be heard and valued regardless of gender.	0
19	Men are naturally more aggressive than women.	1
20	Women are naturally more emotional and illogical than men.	1
21	The reason a company doesn't hire many female engineers is that women don't have enough experience or skills to be successful in these roles.	1
22	Gender equality benefits families and communities by promoting fairness and equity.	0
23	Both men and women can be nurturing and supportive partners.	0
24	Both men and women can challenge societal norms and expectations.	0
25	Men are naturally more ambitious than women.	1
26	The best way to calm a crying baby is to have a woman hold it.	1
27	Gender equality requires challenging outdated beliefs and practices.	0
28	Men are naturally better at problem-solving.	1
29	Both men and women can be allies in advocating for policies that promote gender equity.	0
30	Gender stereotypes limit opportunities for individuals to express their true selves.	0
31	The reason there aren't more female CEOs is because women are too emotional to handle high-stress positions like that.	1
32	Each person's worth is inherent and should not be defined by gender.	0
33	Gender equality requires challenging patriarchal norms and structures.	0
34	Men and women can both be ambitious and driven.	0
35	Each person's voice should be heard and valued, regardless of gender.	0
36	Women are more intuitive and should be used for tasks that require creativity.	1
37	Both men and women can be leaders in their respective fields.	0
38	The reason there aren't many female politicians is that women are naturally more focused on helping others than seeking power themselves.	1
39	A woman's role is to support her husband, not pursue her own goals.	1
40	Women are better at organization than men.	1
41	A woman's place is in the home, taking care of her family and raising children.	1
42	Gender equality promotes fairness and equity in all aspects of life.	0
43	Each person's choices about their appearance should be respected, irrespective of gender.	0
44	Women should always be submissive to their husbands.	1
45	Both men and women have the right to pursue their passions and interests.	0
46	Gender stereotypes harm individuals and limit their potential.	0
47	Gender equality empowers individuals to challenge societal norms that perpetuate inequality.	0
48	Gender diversity in politics leads to more inclusive policies.	0
49	Gender discrimination undermines individual rights and freedoms.	0
50	It's a woman's job to ensure her partner feels comfortable in the relationship by catering to his every need.	1
51	Gender stereotypes limit opportunities for authentic connection and understanding.	0
52	The most successful athletes are male.	1
53	Gender inclusivity in language promotes respect and recognition for all genders.	0
54	A businesswoman's success is only because of her husband's business connections.	1
